molecule_chembl_id,class,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4089730,inactive,COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,419.52500000000026,3.8703200000000013,2,5,7.017728766960431
CHEMBL4516321,active,CC(=O)NCCNCc1cc(C)c(OCc2cccc(-c3ccccc3)c2C)cc1OCc1cncc(C#N)c1,534.6600000000003,5.620820000000005,2,6,8.602059991327963
CHEMBL4436703,active,CCNCc1cc(C)c(OCc2cccc(-c3ccccc3)c2C)cc1OCc1cncc(C#N)c1,477.60800000000023,6.504620000000007,1,5,8.657577319177793
CHEMBL4575618,active,CC(=O)NCCNCc1cc(C)c(OCc2cccc(-c3cccc(COc4cc(OCc5cncc(C#N)c5)c(CNCCNC(C)=O)cc4C)c3C)c2C)cc1OCc1cncc(C#N)c1,915.1079999999996,7.888040000000009,4,12,8.522878745280337
CHEMBL4528795,active,CCNCc1cc(C)c(OCc2cccc(-c3cccc(COc4cc(OCc5cncc(C#N)c5)c(CNCC)cc4C)c3C)c2C)cc1OCc1cncc(C#N)c1,801.0039999999998,9.65564,2,10,8.42021640338319
CHEMBL4565838,inactive,CC(=O)NCCNCc1ccc(OCc2ccc(COc3ccc(CNCCNC(C)=O)c(OCc4cncc(C#N)c4)c3)cc2)cc1OCc1cncc(C#N)c1,782.902,4.987360000000003,4,12,5.083862016892825
CHEMBL4554167,inactive,CC(=O)NCCNCc1ccc(OCc2cccc(COc3ccc(CNCCNC(C)=O)c(OCc4cncc(C#N)c4)c3)c2)cc1OCc1cncc(C#N)c1,782.902,4.9873600000000025,4,12,5.0
CHEMBL4585805,inactive,CC(=O)NCCNCc1ccc(OCc2ccc(COc3ccc(CNCCNC(C)=O)c(OCc4cncc(C#N)c4)c3)c3ccccc23)cc1OCc1cncc(C#N)c1,832.962,6.140560000000005,4,12,6.335358024443875
CHEMBL4453487,inactive,CC(=O)NCCNCc1ccc(OCc2ccc3cc(COc4ccc(CNCCNC(C)=O)c(OCc5cncc(C#N)c5)c4)ccc3c2)cc1OCc1cncc(C#N)c1,832.962,6.140560000000006,4,12,5.931072388317928
CHEMBL4092122,active,Cc1c(CO)cccc1-c1ccccc1,198.265,3.154320000000001,1,1,9.036212172654444
CHEMBL4441950,active,Cc1c(CO)cccc1-c1ccc2c(c1)OCCO2,256.30099999999993,2.9255200000000015,1,3,9.036212172654444
CHEMBL4457410,inactive,N#Cc1c(NC(=O)c2nc3c(s2)CNCC3)cccc1-c1ccc2c(c1)OCC2,402.4790000000002,3.514680000000002,2,6,7.0
CHEMBL4551365,inactive,N#Cc1c(Nc2nccc3cc(CNCCO)cnc23)cccc1C1=CCCCC1,399.4980000000002,4.284380000000003,3,6,7.0
CHEMBL4440831,inactive,N#Cc1c(-c2ccc3c(c2)OCCO3)cccc1N1CCC(NC2CCCOC2)CC1,419.5250000000003,3.733880000000002,1,6,7.0
CHEMBL4460496,inactive,Cc1c(-c2ccccc2)cccc1-n1cc2c(n1)CNCC2,289.382,3.4934200000000013,1,3,7.0
CHEMBL4592968,inactive,COc1cc2oc(-c3cccc(-c4ccccc4)c3C)nc2cc1CNCCO,388.4670000000002,4.560720000000005,2,5,7.0
CHEMBL4434700,inactive,Cc1c(-c2ccccc2)cccc1-c1cc2ccc(CNCCO)cn2n1,357.45700000000005,4.058620000000003,2,4,7.0
CHEMBL4570131,inactive,Cc1cc(C(=O)Nc2cccc(-c3ccccc3)c2C)ncc1CNCCO,375.4720000000002,3.6996400000000027,3,4,7.0
CHEMBL4099869,inactive,Cc1c(COc2ccc(CN3CCCCC3C(=O)O)cc2Br)cccc1-c1ccccc1,494.42900000000003,6.442620000000006,1,3,6.835647144215563
CHEMBL4529967,active,N#Cc1cc(COc2cc(CCc3cccc(-c4ccccc4)c3Br)c(Cl)cc2CN2CCCC[C@H]2C(=O)O)ccn1,644.997,7.839480000000009,1,5,13.096910013008056
CHEMBL4447172,inactive,CS(=O)(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccc4c(c3)OCCO4)c2C#N)c2nncn2c1,547.5970000000003,1.93028,3,10,6.007269796045858
CHEMBL4455608,inactive,CC(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccc4c(c3)OCCO4)c2C#N)c2nncn2c1,511.54200000000037,2.5171799999999998,3,9,6.43533393574791
CHEMBL4457544,inactive,CN(Cc1cc(C(=O)Nc2cccc(-c3ccc4c(c3)OCCO4)c2C#N)c2nncn2c1)CC(O)CO,514.5420000000004,2.0764800000000005,3,10,6.313185045492683
CHEMBL4520349,inactive,N#Cc1c(NC(=O)c2cc(CNCCO)cn3cnnc23)cccc1-c1ccc2c(c1)OCCO2,470.48900000000026,2.37338,3,9,6.561299467099263
CHEMBL4471246,inactive,Cc1c(NC(=O)c2cc(CNCCS(N)(=O)=O)cn3cnnc23)cccc1-c1ccc2c(c1)OCCO2,522.5870000000002,2.106320000000001,3,9,5.432503108895777
CHEMBL4563134,inactive,Cc1c(NC(=O)c2cc(CNCCNS(C)(=O)=O)cn3cnnc23)cccc1-c1ccc2c(c1)OCCO2,536.6140000000003,2.367020000000001,3,9,6.00533097817447
CHEMBL4475015,inactive,CC(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccc4c(c3)OCCO4)c2C)c2nncn2c1,500.55900000000037,2.953920000000001,3,8,6.247337056879028
CHEMBL4543102,inactive,Cc1c(NC(=O)c2cc(CN(C)CC(O)CO)cn3cnnc23)cccc1-c1ccc2c(c1)OCCO2,503.55900000000025,2.5132200000000005,3,9,6.324404943613254
CHEMBL4452790,inactive,Cc1c(NC(=O)c2cc(CN(C)CCO)cn3cnnc23)cccc1-c1ccc2c(c1)OCCO2,473.53300000000024,3.1523200000000013,2,8,6.622875957653544
CHEMBL4586685,inactive,Cc1c(NC(=O)c2cc(CNCCO)cn3cnnc23)cccc1-c1ccc2c(c1)OCCO2,459.50600000000026,2.8101200000000004,3,8,7.034798298974088
CHEMBL3582252,inactive,COc1cc(OCc2cccc(-c3ccccc3)c2C)cc(OC)c1CN1CCCC[C@H]1C(=O)O,475.58500000000043,5.697320000000006,1,5,7.0996328713435295
